"population","demographic_group","indicator","survey_year","value","indicator_type"
children,Māori boys,Tooth brushing twice a day or more with standard fluoride toothpaste,2011,0.0,Other
children,Māori girls,Tooth brushing twice a day or more with standard fluoride toothpaste,2011,0.0,Other
children,Pacific boys,Tooth brushing twice a day or more with standard fluoride toothpaste,2011,0.0,Other
children,Pacific girls,Tooth brushing twice a day or more with standard fluoride toothpaste,2011,0.0,Other
children,Asian boys,Tooth brushing twice a day or more with standard fluoride toothpaste,2011,0.0,Other
children,Asian girls,Tooth brushing twice a day or more with standard fluoride toothpaste,2011,0.0,Other
children,European/Other boys,Tooth brushing twice a day or more with standard fluoride toothpaste,2011,0.0,Other
children,European/Other girls,Tooth brushing twice a day or more with standard fluoride toothpaste,2011,0.0,Other
children,Northern boys,Tooth brushing twice a day or more with standard fluoride toothpaste,2011,0.0,Other
children,Midland boys,Tooth brushing twice a day or more with standard fluoride toothpaste,2011,0.0,Other
children,Central boys,Tooth brushing twice a day or more with standard fluoride toothpaste,2011,0.0,Other
children,South Island boys,Tooth brushing twice a day or more with standard fluoride toothpaste,2011,0.0,Other
children,Northern girls,Tooth brushing twice a day or more with standard fluoride toothpaste,2011,0.0,Other
children,Midland girls,Tooth brushing twice a day or more with standard fluoride toothpaste,2011,0.0,Other
children,Central girls,Tooth brushing twice a day or more with standard fluoride toothpaste,2011,0.0,Other
children,South Island girls,Tooth brushing twice a day or more with standard fluoride toothpaste,2011,0.0,Other
children,Total Non-disabled,Tooth brushing twice a day or more with standard fluoride toothpaste,2011,0.0,Other
children,Total Disabled,Tooth brushing twice a day or more with standard fluoride toothpaste,2011,0.0,Other
children,Non-disabled boys,Tooth brushing twice a day or more with standard fluoride toothpaste,2011,0.0,Other
children,Disabled boys,Tooth brushing twice a day or more with standard fluoride toothpaste,2011,0.0,Other
children,Non-disabled girls,Tooth brushing twice a day or more with standard fluoride toothpaste,2011,0.0,Other
children,Disabled girls,Tooth brushing twice a day or more with standard fluoride toothpaste,2011,0.0,Other
children,Total,ADHD,2011,1.8,Prevalence
children,Boys,ADHD,2011,2.9,Prevalence
children,Girls,ADHD,2011,0.6,Prevalence
children,"5-9",ADHD,2011,1.2,Prevalence
children,"10-14",ADHD,2011,2.3,Prevalence
children,Total Māori,ADHD,2011,2.2,Prevalence
children,Total Pacific,ADHD,2011,1.0,Prevalence
children,Total Asian,ADHD,2011,,Prevalence
children,Total European/Other,ADHD,2011,1.9,Prevalence
children,Total Northern,ADHD,2011,2.2,Prevalence
children,Total Midland,ADHD,2011,2.1,Prevalence
children,Total Central,ADHD,2011,1.9,Prevalence
children,Total South Island,ADHD,2011,0.6,Prevalence
children,Māori boys,ADHD,2011,4.3,Prevalence
children,Māori girls,ADHD,2011,,Prevalence
children,Pacific boys,ADHD,2011,1.6,Prevalence
children,Pacific girls,ADHD,2011,,Prevalence
children,Asian boys,ADHD,2011,,Prevalence
children,Asian girls,ADHD,2011,0.0,Prevalence
children,European/Other boys,ADHD,2011,3.0,Prevalence
children,European/Other girls,ADHD,2011,0.7,Prevalence
children,Northern boys,ADHD,2011,3.7,Prevalence
children,Midland boys,ADHD,2011,2.9,Prevalence
children,Central boys,ADHD,2011,3.4,Prevalence
children,South Island boys,ADHD,2011,0.8,Prevalence
children,Northern girls,ADHD,2011,,Prevalence
children,Midland girls,ADHD,2011,1.4,Prevalence
children,Central girls,ADHD,2011,0.6,Prevalence
children,South Island girls,ADHD,2011,,Prevalence
children,Total Non-disabled,ADHD,2011,0.0,Prevalence
children,Total Disabled,ADHD,2011,0.0,Prevalence
children,Non-disabled boys,ADHD,2011,0.0,Prevalence
children,Disabled boys,ADHD,2011,0.0,Prevalence
children,Non-disabled girls,ADHD,2011,0.0,Prevalence
children,Disabled girls,ADHD,2011,0.0,Prevalence
children,Total,Autism spectrum disorder,2011,1.8,Other
children,Boys,Autism spectrum disorder,2011,2.7,Other
children,Girls,Autism spectrum disorder,2011,0.8,Other
children,"2-4",Autism spectrum disorder,2011,0.7,Other
children,"5-9",Autism spectrum disorder,2011,2.4,Other
children,"10-14",Autism spectrum disorder,2011,1.8,Other
children,Total Māori,Autism spectrum disorder,2011,1.0,Other
children,Total Pacific,Autism spectrum disorder,2011,1.3,Other
children,Total Asian,Autism spectrum disorder,2011,0.7,Other
children,Total European/Other,Autism spectrum disorder,2011,2.1,Other
children,Total Northern,Autism spectrum disorder,2011,2.4,Other
children,Total Midland,Autism spectrum disorder,2011,2.6,Other
children,Total Central,Autism spectrum disorder,2011,1.1,Other
children,Total South Island,Autism spectrum disorder,2011,0.5,Other
children,Māori boys,Autism spectrum disorder,2011,1.8,Other
children,Māori girls,Autism spectrum disorder,2011,,Other
children,Pacific boys,Autism spectrum disorder,2011,1.7,Other
children,Pacific girls,Autism spectrum disorder,2011,0.9,Other
children,Asian boys,Autism spectrum disorder,2011,1.4,Other
children,Asian girls,Autism spectrum disorder,2011,0.0,Other
children,European/Other boys,Autism spectrum disorder,2011,3.2,Other
children,European/Other girls,Autism spectrum disorder,2011,0.9,Other
children,Northern boys,Autism spectrum disorder,2011,3.9,Other
children,Midland boys,Autism spectrum disorder,2011,2.9,Other
children,Central boys,Autism spectrum disorder,2011,1.8,Other
children,South Island boys,Autism spectrum disorder,2011,0.9,Other
children,Northern girls,Autism spectrum disorder,2011,0.5,Other
children,Midland girls,Autism spectrum disorder,2011,2.2,Other
children,Central girls,Autism spectrum disorder,2011,0.4,Other
children,South Island girls,Autism spectrum disorder,2011,0.2,Other
children,Total Non-disabled,Autism spectrum disorder,2011,0.0,Other
children,Total Disabled,Autism spectrum disorder,2011,0.0,Other
children,Non-disabled boys,Autism spectrum disorder,2011,0.0,Other
children,Disabled boys,Autism spectrum disorder,2011,0.0,Other
children,Non-disabled girls,Autism spectrum disorder,2011,0.0,Other
children,Disabled girls,Autism spectrum disorder,2011,0.0,Other
children,Total,Asthma (using treatment),2011,14.1,Prevalence
children,Boys,Asthma (using treatment),2011,16.2,Prevalence
children,Girls,Asthma (using treatment),2011,11.9,Prevalence
children,"2-4",Asthma (using treatment),2011,14.9,Prevalence
children,"5-9",Asthma (using treatment),2011,14.9,Prevalence
children,"10-14",Asthma (using treatment),2011,12.9,Prevalence
children,Total Māori,Asthma (using treatment),2011,19.2,Prevalence
children,Total Pacific,Asthma (using treatment),2011,15.2,Prevalence
children,Total Asian,Asthma (using treatment),2011,12.6,Prevalence
children,Total European/Other,Asthma (using treatment),2011,13.4,Prevalence
children,Total Northern,Asthma (using treatment),2011,12.4,Prevalence
children,Total Midland,Asthma (using treatment),2011,16.2,Prevalence
children,Total Central,Asthma (using treatment),2011,16.4,Prevalence
children,Total South Island,Asthma (using treatment),2011,13.1,Prevalence
children,Māori boys,Asthma (using treatment),2011,21.2,Prevalence
children,Māori girls,Asthma (using treatment),2011,17.0,Prevalence
children,Pacific boys,Asthma (using treatment),2011,15.9,Prevalence
children,Pacific girls,Asthma (using treatment),2011,14.5,Prevalence
children,Asian boys,Asthma (using treatment),2011,16.7,Prevalence
children,Asian girls,Asthma (using treatment),2011,8.1,Prevalence
children,European/Other boys,Asthma (using treatment),2011,14.9,Prevalence
children,European/Other girls,Asthma (using treatment),2011,11.9,Prevalence
children,Northern boys,Asthma (using treatment),2011,13.8,Prevalence
children,Midland boys,Asthma (using treatment),2011,18.5,Prevalence
children,Central boys,Asthma (using treatment),2011,19.1,Prevalence
children,South Island boys,Asthma (using treatment),2011,16.3,Prevalence
