"population","indicator","year","comparison","rate_ratio","low_ci","high_ci","adjusted_factors"
adults,Second-hand smoke inside home,2024,Pacific women vs non-Pacific women,3.09,1.92,4.97,Age
adults,Second-hand smoke inside home,2024,Asian vs non-Asian,0.73,0.44,1.21,"Age, gender"
adults,Second-hand smoke inside home,2024,Asian men vs non-Asian men,0.97,0.51,1.83,Age
adults,Second-hand smoke inside home,2024,Asian women vs non-Asian women,0.45,0.16,1.24,Age
adults,Second-hand smoke inside home,2024,Most deprived vs least deprived,6.17,3.55,10.72,"Age, gender, ethnic group"
adults,Second-hand smoke inside home,2024,Most deprived vs least deprived - men,8.78,3.61,21.36,"Age, ethnic group"
adults,Second-hand smoke inside home,2024,Most deprived vs least deprived - women,4.79,2.27,10.1,"Age, ethnic group"
adults,Second-hand smoke inside home,2024,Disabled adults vs non-disabled adults,2.15,1.54,2.99,"Age, gender"
adults,Second-hand smoke inside car or van,2024,Men vs women,1.62,1.3,2.03,Age
adults,Second-hand smoke inside car or van,2024,Māori vs non-Māori,2.97,2.3,3.84,"Age, gender"
adults,Second-hand smoke inside car or van,2024,Māori men vs non-Māori men,2.52,1.82,3.5,Age
adults,Second-hand smoke inside car or van,2024,Māori women vs non-Māori women,3.74,2.74,5.1,Age
adults,Second-hand smoke inside car or van,2024,Pacific vs non-Pacific,2.01,1.38,2.94,"Age, gender"
adults,Second-hand smoke inside car or van,2024,Pacific men vs non-Pacific men,2.0,1.27,3.15,Age
adults,Second-hand smoke inside car or van,2024,Pacific women vs non-Pacific women,2.03,1.11,3.72,Age
adults,Second-hand smoke inside car or van,2024,Asian vs non-Asian,0.54,0.32,0.9,"Age, gender"
adults,Second-hand smoke inside car or van,2024,Asian men vs non-Asian men,0.7,0.4,1.24,Age
adults,Second-hand smoke inside car or van,2024,Asian women vs non-Asian women,0.24,0.1,0.61,Age
adults,Second-hand smoke inside car or van,2024,Most deprived vs least deprived,4.47,2.82,7.08,"Age, gender, ethnic group"
adults,Second-hand smoke inside car or van,2024,Most deprived vs least deprived - men,4.11,2.26,7.48,"Age, ethnic group"
adults,Second-hand smoke inside car or van,2024,Most deprived vs least deprived - women,5.17,2.19,12.21,"Age, ethnic group"
adults,Second-hand smoke inside car or van,2024,Disabled adults vs non-disabled adults,2.51,1.76,3.57,"Age, gender"
adults,Cannabis use - past 12 months,2024,Men vs women,1.62,1.43,1.83,Age
adults,Cannabis use - past 12 months,2024,Māori vs non-Māori,2.24,1.96,2.57,"Age, gender"
adults,Cannabis use - past 12 months,2024,Māori men vs non-Māori men,1.99,1.65,2.39,Age
adults,Cannabis use - past 12 months,2024,Māori women vs non-Māori women,2.78,2.21,3.5,Age
adults,Cannabis use - past 12 months,2024,Pacific vs non-Pacific,0.77,0.57,1.02,"Age, gender"
adults,Cannabis use - past 12 months,2024,Pacific men vs non-Pacific men,0.71,0.49,1.04,Age
adults,Cannabis use - past 12 months,2024,Pacific women vs non-Pacific women,0.84,0.54,1.3,Age
adults,Cannabis use - past 12 months,2024,Asian vs non-Asian,0.19,0.13,0.28,"Age, gender"
adults,Cannabis use - past 12 months,2024,Asian men vs non-Asian men,0.19,0.12,0.31,Age
adults,Cannabis use - past 12 months,2024,Asian women vs non-Asian women,0.17,0.08,0.39,Age
adults,Cannabis use - past 12 months,2024,Most deprived vs least deprived,1.28,0.9,1.81,"Age, gender, ethnic group"
adults,Cannabis use - past 12 months,2024,Most deprived vs least deprived - men,1.28,0.86,1.89,"Age, ethnic group"
adults,Cannabis use - past 12 months,2024,Most deprived vs least deprived - women,1.3,0.82,2.05,"Age, ethnic group"
adults,Cannabis use - past 12 months,2024,Disabled adults vs non-disabled adults,2.0,1.69,2.36,"Age, gender"
adults,Cannabis use - weekly,2024,Men vs women,1.92,1.54,2.4,Age
adults,Cannabis use - weekly,2024,Māori vs non-Māori,2.86,2.31,3.55,"Age, gender"
adults,Cannabis use - weekly,2024,Māori men vs non-Māori men,2.55,1.89,3.44,Age
adults,Cannabis use - weekly,2024,Māori women vs non-Māori women,3.54,2.33,5.37,Age
adults,Cannabis use - weekly,2024,Pacific vs non-Pacific,0.55,0.32,0.94,"Age, gender"
adults,Cannabis use - weekly,2024,Pacific men vs non-Pacific men,0.66,0.32,1.36,Age
adults,Cannabis use - weekly,2024,Pacific women vs non-Pacific women,0.38,0.18,0.8,Age
adults,Cannabis use - weekly,2024,Asian vs non-Asian,0.21,0.11,0.4,"Age, gender"
adults,Cannabis use - weekly,2024,Asian men vs non-Asian men,0.27,0.12,0.58,Age
adults,Cannabis use - weekly,2024,Most deprived vs least deprived,2.9,1.65,5.12,"Age, gender, ethnic group"
adults,Cannabis use - weekly,2024,Most deprived vs least deprived - men,3.14,1.54,6.42,"Age, ethnic group"
adults,Cannabis use - weekly,2024,Most deprived vs least deprived - women,2.43,1.13,5.19,"Age, ethnic group"
adults,Cannabis use - weekly,2024,Disabled adults vs non-disabled adults,2.77,2.16,3.57,"Age, gender"
adults,Cocaine use - past 12 months,2024,Men vs women,1.52,1.08,2.14,Age
adults,Cocaine use - past 12 months,2024,Māori vs non-Māori,1.93,1.24,3.01,"Age, gender"
adults,Cocaine use - past 12 months,2024,Māori men vs non-Māori men,1.98,1.16,3.38,Age
adults,Cocaine use - past 12 months,2024,Māori women vs non-Māori women,1.85,0.93,3.69,Age
adults,Cocaine use - past 12 months,2024,Pacific vs non-Pacific,0.54,0.13,2.2,"Age, gender"
adults,Cocaine use - past 12 months,2024,Pacific men vs non-Pacific men,0.12,0.02,0.81,Age
adults,Cocaine use - past 12 months,2024,Pacific women vs non-Pacific women,1.14,0.2,6.41,Age
adults,Cocaine use - past 12 months,2024,Asian vs non-Asian,0.05,0.01,0.32,"Age, gender"
adults,Cocaine use - past 12 months,2024,Asian men vs non-Asian men,0.08,0.01,0.52,Age
adults,Cocaine use - past 12 months,2024,Most deprived vs least deprived,0.6,0.3,1.19,"Age, gender, ethnic group"
adults,Cocaine use - past 12 months,2024,Most deprived vs least deprived - men,0.64,0.28,1.47,"Age, ethnic group"
adults,Cocaine use - past 12 months,2024,Most deprived vs least deprived - women,0.54,0.19,1.51,"Age, ethnic group"
adults,Cocaine use - past 12 months,2024,Disabled adults vs non-disabled adults,0.83,0.41,1.67,"Age, gender"
adults,Ecstasy/MDMA use - past 12 months,2024,Men vs women,1.6,1.22,2.1,Age
adults,Ecstasy/MDMA use - past 12 months,2024,Māori vs non-Māori,1.62,1.2,2.18,"Age, gender"
adults,Ecstasy/MDMA use - past 12 months,2024,Māori men vs non-Māori men,1.56,1.08,2.25,Age
adults,Ecstasy/MDMA use - past 12 months,2024,Māori women vs non-Māori women,1.85,1.21,2.83,Age
adults,Ecstasy/MDMA use - past 12 months,2024,Pacific vs non-Pacific,0.44,0.19,0.98,"Age, gender"
adults,Ecstasy/MDMA use - past 12 months,2024,Pacific men vs non-Pacific men,0.29,0.1,0.85,Age
adults,Ecstasy/MDMA use - past 12 months,2024,Pacific women vs non-Pacific women,0.67,0.17,2.62,Age
adults,Ecstasy/MDMA use - past 12 months,2024,Asian vs non-Asian,0.15,0.06,0.34,"Age, gender"
adults,Ecstasy/MDMA use - past 12 months,2024,Asian men vs non-Asian men,0.12,0.03,0.45,Age
adults,Ecstasy/MDMA use - past 12 months,2024,Most deprived vs least deprived,0.6,0.34,1.07,"Age, gender, ethnic group"
adults,Ecstasy/MDMA use - past 12 months,2024,Most deprived vs least deprived - men,0.79,0.41,1.51,"Age, ethnic group"
adults,Ecstasy/MDMA use - past 12 months,2024,Most deprived vs least deprived - women,0.45,0.18,1.13,"Age, ethnic group"
adults,Ecstasy/MDMA use - past 12 months,2024,Disabled adults vs non-disabled adults,1.25,0.71,2.19,"Age, gender"
adults,Amphetamine-type stimulant use - past 12 months,2024,Men vs women,2.81,1.43,5.52,Age
adults,Amphetamine-type stimulant use - past 12 months,2024,Māori vs non-Māori,2.41,1.27,4.59,"Age, gender"
adults,Amphetamine-type stimulant use - past 12 months,2024,Māori men vs non-Māori men,1.83,0.86,3.92,Age
adults,Amphetamine-type stimulant use - past 12 months,2024,Māori women vs non-Māori women,4.4,1.28,15.16,Age
adults,Amphetamine-type stimulant use - past 12 months,2024,Most deprived vs least deprived,1.19,0.45,3.1,"Age, gender, ethnic group"
adults,Amphetamine-type stimulant use - past 12 months,2024,Most deprived vs least deprived - men,0.68,0.22,2.15,"Age, ethnic group"
adults,Amphetamine-type stimulant use - past 12 months,2024,Most deprived vs least deprived - women,6.21,1.46,26.48,"Age, ethnic group"
adults,Amphetamine-type stimulant use - past 12 months,2024,Disabled adults vs non-disabled adults,3.33,1.79,6.16,"Age, gender"
adults,Sedative or sleeping pill use - past 12 months,2024,Men vs women,0.81,0.53,1.24,Age
adults,Sedative or sleeping pill use - past 12 months,2024,Māori vs non-Māori,2.04,1.23,3.39,"Age, gender"
adults,Sedative or sleeping pill use - past 12 months,2024,Māori men vs non-Māori men,2.4,1.13,5.07,Age
adults,Sedative or sleeping pill use - past 12 months,2024,Māori women vs non-Māori women,1.75,0.82,3.73,Age
adults,Sedative or sleeping pill use - past 12 months,2024,Pacific vs non-Pacific,1.06,0.28,4.05,"Age, gender"
adults,Sedative or sleeping pill use - past 12 months,2024,Asian vs non-Asian,0.17,0.05,0.51,"Age, gender"
adults,Sedative or sleeping pill use - past 12 months,2024,Asian women vs non-Asian women,0.1,0.02,0.41,Age
adults,Sedative or sleeping pill use - past 12 months,2024,Most deprived vs least deprived,0.54,0.22,1.34,"Age, gender, ethnic group"
adults,Sedative or sleeping pill use - past 12 months,2024,Most deprived vs least deprived - men,0.34,0.11,1.08,"Age, ethnic group"
adults,Sedative or sleeping pill use - past 12 months,2024,Most deprived vs least deprived - women,0.78,0.2,2.98,"Age, ethnic group"
adults,Sedative or sleeping pill use - past 12 months,2024,Disabled adults vs non-disabled adults,1.76,0.92,3.34,"Age, gender"
adults,Hallucinogen use - past 12 months,2024,Men vs women,1.95,1.28,2.98,Age
adults,Hallucinogen use - past 12 months,2024,Māori vs non-Māori,1.69,1.07,2.66,"Age, gender"
adults,Hallucinogen use - past 12 months,2024,Māori men vs non-Māori men,1.06,0.57,1.98,Age
adults,Hallucinogen use - past 12 months,2024,Māori women vs non-Māori women,3.73,1.98,7.0,Age
adults,Hallucinogen use - past 12 months,2024,Pacific vs non-Pacific,0.56,0.13,2.38,"Age, gender"
adults,Hallucinogen use - past 12 months,2024,Asian vs non-Asian,0.21,0.08,0.55,"Age, gender"
adults,Hallucinogen use - past 12 months,2024,Asian men vs non-Asian men,0.26,0.09,0.81,Age
adults,Hallucinogen use - past 12 months,2024,Most deprived vs least deprived,0.56,0.26,1.22,"Age, gender, ethnic group"
adults,Hallucinogen use - past 12 months,2024,Most deprived vs least deprived - men,0.51,0.2,1.31,"Age, ethnic group"
adults,Hallucinogen use - past 12 months,2024,Most deprived vs least deprived - women,0.81,0.16,4.18,"Age, ethnic group"
adults,Hallucinogen use - past 12 months,2024,Disabled adults vs non-disabled adults,2.3,1.28,4.14,"Age, gender"
adults,Opioid use - past 12 months,2024,Men vs women,1.18,0.58,2.4,Age
adults,Opioid use - past 12 months,2024,Māori vs non-Māori,3.77,1.83,7.76,"Age, gender"
adults,Opioid use - past 12 months,2024,Māori men vs non-Māori men,4.14,1.38,12.45,Age
adults,Opioid use - past 12 months,2024,Māori women vs non-Māori women,3.35,1.24,9.03,Age
adults,Opioid use - past 12 months,2024,Asian vs non-Asian,0.08,0.01,0.52,"Age, gender"
adults,Opioid use - past 12 months,2024,Most deprived vs least deprived,0.33,0.09,1.17,"Age, gender, ethnic group"
adults,Opioid use - past 12 months,2024,Most deprived vs least deprived - women,1.28,0.48,3.45,"Age, ethnic group"
adults,Opioid use - past 12 months,2024,Disabled adults vs non-disabled adults,3.02,1.18,7.73,"Age, gender"
adults,Meets fruit recommendation,2024,Men vs women,0.81,0.77,0.86,Age
adults,Meets fruit recommendation,2024,Māori vs non-Māori,0.9,0.83,0.96,"Age, gender"
adults,Meets fruit recommendation,2024,Māori men vs non-Māori men,0.84,0.73,0.95,Age
adults,Meets fruit recommendation,2024,Māori women vs non-Māori women,0.95,0.87,1.03,Age
adults,Meets fruit recommendation,2024,Pacific vs non-Pacific,0.86,0.75,0.97,"Age, gender"
adults,Meets fruit recommendation,2024,Pacific men vs non-Pacific men,0.91,0.73,1.14,Age
adults,Meets fruit recommendation,2024,Pacific women vs non-Pacific women,0.83,0.71,0.96,Age
adults,Meets fruit recommendation,2024,Asian vs non-Asian,0.85,0.77,0.93,"Age, gender"
adults,Meets fruit recommendation,2024,Asian men vs non-Asian men,0.85,0.74,0.98,Age
adults,Meets fruit recommendation,2024,Asian women vs non-Asian women,0.85,0.75,0.95,Age
adults,Meets fruit recommendation,2024,Most deprived vs least deprived,0.72,0.64,0.81,"Age, gender, ethnic group"
adults,Meets fruit recommendation,2024,Most deprived vs least deprived - men,0.72,0.59,0.87,"Age, ethnic group"
adults,Meets fruit recommendation,2024,Most deprived vs least deprived - women,0.73,0.64,0.83,"Age, ethnic group"
adults,Meets fruit recommendation,2024,Disabled adults vs non-disabled adults,0.81,0.72,0.9,"Age, gender"
adults,Meets vegetable recommendation,2024,Men vs women,0.4,0.32,0.51,Age
adults,Meets vegetable recommendation,2024,Māori vs non-Māori,1.26,0.92,1.72,"Age, gender"
adults,Meets vegetable recommendation,2024,Māori men vs non-Māori men,1.79,0.91,3.5,Age
adults,Meets vegetable recommendation,2024,Māori women vs non-Māori women,1.09,0.84,1.41,Age
adults,Meets vegetable recommendation,2024,Pacific vs non-Pacific,0.75,0.43,1.29,"Age, gender"
adults,Meets vegetable recommendation,2024,Pacific men vs non-Pacific men,0.93,0.27,3.21,Age
adults,Meets vegetable recommendation,2024,Pacific women vs non-Pacific women,0.71,0.37,1.37,Age
adults,Meets vegetable recommendation,2024,Asian vs non-Asian,0.34,0.25,0.48,"Age, gender"
adults,Meets vegetable recommendation,2024,Asian men vs non-Asian men,0.21,0.06,0.71,Age
adults,Meets vegetable recommendation,2024,Asian women vs non-Asian women,0.4,0.27,0.59,Age
adults,Meets vegetable recommendation,2024,Most deprived vs least deprived,0.71,0.47,1.07,"Age, gender, ethnic group"
adults,Meets vegetable recommendation,2024,Most deprived vs least deprived - men,0.96,0.42,2.2,"Age, ethnic group"
adults,Meets vegetable recommendation,2024,Most deprived vs least deprived - women,0.64,0.43,0.95,"Age, ethnic group"
adults,Meets vegetable recommendation,2024,Disabled adults vs non-disabled adults,0.94,0.72,1.23,"Age, gender"
adults,Meets both vegetable and fruit recommendation,2024,Men vs women,0.34,0.25,0.47,Age
adults,Meets both vegetable and fruit recommendation,2024,Māori vs non-Māori,1.25,0.9,1.74,"Age, gender"
adults,Meets both vegetable and fruit recommendation,2024,Māori men vs non-Māori men,1.73,0.75,4.0,Age
adults,Meets both vegetable and fruit recommendation,2024,Māori women vs non-Māori women,1.13,0.82,1.55,Age
adults,Meets both vegetable and fruit recommendation,2024,Pacific vs non-Pacific,0.84,0.41,1.73,"Age, gender"
adults,Meets both vegetable and fruit recommendation,2024,Pacific women vs non-Pacific women,0.84,0.36,1.97,Age
adults,Meets both vegetable and fruit recommendation,2024,Asian vs non-Asian,0.31,0.17,0.54,"Age, gender"
adults,Meets both vegetable and fruit recommendation,2024,Asian women vs non-Asian women,0.34,0.19,0.62,Age
adults,Meets both vegetable and fruit recommendation,2024,Most deprived vs least deprived,0.56,0.33,0.96,"Age, gender, ethnic group"
adults,Meets both vegetable and fruit recommendation,2024,Most deprived vs least deprived - men,0.69,0.22,2.17,"Age, ethnic group"
adults,Meets both vegetable and fruit recommendation,2024,Most deprived vs least deprived - women,0.53,0.31,0.92,"Age, ethnic group"
adults,Meets both vegetable and fruit recommendation,2024,Disabled adults vs non-disabled adults,0.83,0.58,1.18,"Age, gender"
adults,Sleeps less than recommended,2024,Men vs women,0.96,0.86,1.06,Age
adults,Sleeps less than recommended,2024,Māori vs non-Māori,1.47,1.33,1.61,"Age, gender"
adults,Sleeps less than recommended,2024,Māori men vs non-Māori men,1.45,1.24,1.7,Age
adults,Sleeps less than recommended,2024,Māori women vs non-Māori women,1.46,1.31,1.63,Age
adults,Sleeps less than recommended,2024,Pacific vs non-Pacific,1.41,1.23,1.62,"Age, gender"
adults,Sleeps less than recommended,2024,Pacific men vs non-Pacific men,1.31,1.03,1.67,Age
adults,Sleeps less than recommended,2024,Pacific women vs non-Pacific women,1.5,1.26,1.77,Age
adults,Sleeps less than recommended,2024,Asian vs non-Asian,0.9,0.79,1.03,"Age, gender"
adults,Sleeps less than recommended,2024,Asian men vs non-Asian men,0.96,0.79,1.16,Age
adults,Sleeps less than recommended,2024,Asian women vs non-Asian women,0.85,0.7,1.02,Age
adults,Sleeps less than recommended,2024,Most deprived vs least deprived,1.24,1.05,1.47,"Age, gender, ethnic group"
adults,Sleeps less than recommended,2024,Most deprived vs least deprived - men,1.39,1.04,1.86,"Age, ethnic group"
adults,Sleeps less than recommended,2024,Most deprived vs least deprived - women,1.12,0.88,1.42,"Age, ethnic group"
adults,Sleeps less than recommended,2024,Disabled adults vs non-disabled adults,1.6,1.4,1.82,"Age, gender"
adults,Meets sleep duration recommendations,2024,Men vs women,1.01,0.97,1.05,Age
adults,Meets sleep duration recommendations,2024,Māori vs non-Māori,0.82,0.78,0.87,"Age, gender"
adults,Meets sleep duration recommendations,2024,Māori men vs non-Māori men,0.83,0.76,0.91,Age
adults,Meets sleep duration recommendations,2024,Māori women vs non-Māori women,0.82,0.77,0.88,Age
adults,Meets sleep duration recommendations,2024,Pacific vs non-Pacific,0.8,0.72,0.88,"Age, gender"
adults,Meets sleep duration recommendations,2024,Pacific men vs non-Pacific men,0.85,0.74,0.97,Age
adults,Meets sleep duration recommendations,2024,Pacific women vs non-Pacific women,0.75,0.66,0.86,Age
adults,Meets sleep duration recommendations,2024,Asian vs non-Asian,1.07,1.01,1.12,"Age, gender"
adults,Meets sleep duration recommendations,2024,Asian men vs non-Asian men,1.03,0.95,1.11,Age
adults,Meets sleep duration recommendations,2024,Asian women vs non-Asian women,1.1,1.03,1.18,Age
adults,Meets sleep duration recommendations,2024,Most deprived vs least deprived,0.88,0.82,0.95,"Age, gender, ethnic group"
adults,Meets sleep duration recommendations,2024,Most deprived vs least deprived - men,0.83,0.75,0.93,"Age, ethnic group"
adults,Meets sleep duration recommendations,2024,Most deprived vs least deprived - women,0.94,0.84,1.04,"Age, ethnic group"
adults,Meets sleep duration recommendations,2024,Disabled adults vs non-disabled adults,0.71,0.64,0.78,"Age, gender"
adults,Sleeps more than recommended,2024,Men vs women,1.12,0.91,1.38,Age
adults,Sleeps more than recommended,2024,Māori vs non-Māori,1.1,0.85,1.42,"Age, gender"
adults,Sleeps more than recommended,2024,Māori men vs non-Māori men,1.06,0.72,1.58,Age
adults,Sleeps more than recommended,2024,Māori women vs non-Māori women,1.05,0.77,1.43,Age
adults,Sleeps more than recommended,2024,Pacific vs non-Pacific,1.69,1.2,2.39,"Age, gender"
adults,Sleeps more than recommended,2024,Pacific men vs non-Pacific men,1.52,0.8,2.89,Age
adults,Sleeps more than recommended,2024,Pacific women vs non-Pacific women,1.87,1.32,2.66,Age
adults,Sleeps more than recommended,2024,Asian vs non-Asian,0.65,0.41,1.04,"Age, gender"
adults,Sleeps more than recommended,2024,Asian men vs non-Asian men,0.79,0.44,1.4,Age
adults,Sleeps more than recommended,2024,Asian women vs non-Asian women,0.52,0.23,1.17,Age
adults,Sleeps more than recommended,2024,Most deprived vs least deprived,1.53,0.96,2.44,"Age, gender, ethnic group"
adults,Sleeps more than recommended,2024,Most deprived vs least deprived - men,1.85,1.05,3.28,"Age, ethnic group"
adults,Sleeps more than recommended,2024,Most deprived vs least deprived - women,1.25,0.72,2.17,"Age, ethnic group"
adults,Sleeps more than recommended,2024,Disabled adults vs non-disabled adults,1.7,1.35,2.14,"Age, gender"
adults,Mean number of hours of sleep,2024,Men vs women,1.0,0.99,1.01,Age
adults,Mean number of hours of sleep,2024,Māori vs non-Māori,0.97,0.95,0.98,"Age, gender"
adults,Mean number of hours of sleep,2024,Māori men vs non-Māori men,0.97,0.95,0.99,Age
adults,Mean number of hours of sleep,2024,Māori women vs non-Māori women,0.96,0.94,0.97,Age
adults,Mean number of hours of sleep,2024,Pacific vs non-Pacific,0.97,0.95,0.99,"Age, gender"
adults,Mean number of hours of sleep,2024,Pacific men vs non-Pacific men,0.97,0.94,1.01,Age
adults,Mean number of hours of sleep,2024,Pacific women vs non-Pacific women,0.96,0.94,0.98,Age
adults,Mean number of hours of sleep,2024,Asian vs non-Asian,1.01,0.99,1.02,"Age, gender"
adults,Mean number of hours of sleep,2024,Asian men vs non-Asian men,1.01,0.99,1.03,Age
adults,Mean number of hours of sleep,2024,Asian women vs non-Asian women,1.0,0.98,1.02,Age
adults,Mean number of hours of sleep,2024,Most deprived vs least deprived,0.99,0.97,1.01,"Age, gender, ethnic group"
adults,Mean number of hours of sleep,2024,Most deprived vs least deprived - men,0.99,0.96,1.02,"Age, ethnic group"
adults,Mean number of hours of sleep,2024,Most deprived vs least deprived - women,0.99,0.97,1.01,"Age, ethnic group"
adults,Mean number of hours of sleep,2024,Disabled adults vs non-disabled adults,0.98,0.96,1.01,"Age, gender"
adults,Physically active,2024,Men vs women,1.11,1.05,1.18,Age
adults,Physically active,2024,Māori vs non-Māori,1.01,0.93,1.11,"Age, gender"
adults,Physically active,2024,Māori men vs non-Māori men,0.99,0.88,1.12,Age
adults,Physically active,2024,Māori women vs non-Māori women,1.04,0.93,1.16,Age
adults,Physically active,2024,Pacific vs non-Pacific,0.89,0.79,1.01,"Age, gender"
adults,Physically active,2024,Pacific men vs non-Pacific men,0.96,0.8,1.15,Age
adults,Physically active,2024,Pacific women vs non-Pacific women,0.83,0.68,1.0,Age
adults,Physically active,2024,Asian vs non-Asian,0.86,0.78,0.95,"Age, gender"
adults,Physically active,2024,Asian men vs non-Asian men,0.91,0.79,1.05,Age
adults,Physically active,2024,Asian women vs non-Asian women,0.81,0.71,0.93,Age
adults,Physically active,2024,Most deprived vs least deprived,0.92,0.79,1.07,"Age, gender, ethnic group"
adults,Physically active,2024,Most deprived vs least deprived - men,0.83,0.7,0.99,"Age, ethnic group"
adults,Physically active,2024,Most deprived vs least deprived - women,1.03,0.85,1.26,"Age, ethnic group"
adults,Physically active,2024,Disabled adults vs non-disabled adults,0.64,0.56,0.74,"Age, gender"
adults,Highly physically active,2024,Men vs women,1.18,1.11,1.26,Age
adults,Highly physically active,2024,Māori vs non-Māori,1.05,0.96,1.16,"Age, gender"
adults,Highly physically active,2024,Māori men vs non-Māori men,1.03,0.91,1.16,Age
adults,Highly physically active,2024,Māori women vs non-Māori women,1.09,0.97,1.21,Age
adults,Highly physically active,2024,Pacific vs non-Pacific,0.89,0.77,1.02,"Age, gender"
adults,Highly physically active,2024,Pacific men vs non-Pacific men,0.91,0.75,1.11,Age
adults,Highly physically active,2024,Pacific women vs non-Pacific women,0.86,0.69,1.07,Age
adults,Highly physically active,2024,Asian vs non-Asian,0.82,0.74,0.92,"Age, gender"
adults,Highly physically active,2024,Asian men vs non-Asian men,0.87,0.75,1.01,Age
adults,Highly physically active,2024,Asian women vs non-Asian women,0.77,0.66,0.9,Age
adults,Highly physically active,2024,Most deprived vs least deprived,0.94,0.8,1.11,"Age, gender, ethnic group"
adults,Highly physically active,2024,Most deprived vs least deprived - men,0.86,0.71,1.04,"Age, ethnic group"
adults,Highly physically active,2024,Most deprived vs least deprived - women,1.05,0.84,1.32,"Age, ethnic group"
adults,Highly physically active,2024,Disabled adults vs non-disabled adults,0.62,0.53,0.72,"Age, gender"
adults,Insufficient physical activity,2024,Men vs women,0.98,0.91,1.05,Age
adults,Insufficient physical activity,2024,Māori vs non-Māori,0.9,0.81,1.0,"Age, gender"
adults,Insufficient physical activity,2024,Māori men vs non-Māori men,0.93,0.8,1.07,Age
adults,Insufficient physical activity,2024,Māori women vs non-Māori women,0.88,0.76,1.01,Age
adults,Insufficient physical activity,2024,Pacific vs non-Pacific,0.96,0.84,1.1,"Age, gender"
adults,Insufficient physical activity,2024,Pacific men vs non-Pacific men,0.88,0.69,1.13,Age
adults,Insufficient physical activity,2024,Pacific women vs non-Pacific women,1.02,0.89,1.18,Age
adults,Insufficient physical activity,2024,Asian vs non-Asian,1.06,0.97,1.17,"Age, gender"
adults,Insufficient physical activity,2024,Asian men vs non-Asian men,1.02,0.88,1.18,Age
adults,Insufficient physical activity,2024,Asian women vs non-Asian women,1.1,0.98,1.23,Age
adults,Insufficient physical activity,2024,Most deprived vs least deprived,0.91,0.79,1.06,"Age, gender, ethnic group"
adults,Insufficient physical activity,2024,Most deprived vs least deprived - men,1.04,0.85,1.27,"Age, ethnic group"
adults,Insufficient physical activity,2024,Most deprived vs least deprived - women,0.81,0.66,0.99,"Age, ethnic group"
adults,Insufficient physical activity,2024,Disabled adults vs non-disabled adults,1.05,0.94,1.16,"Age, gender"
adults,Little or no physical activity,2024,Men vs women,0.72,0.62,0.83,Age
adults,Little or no physical activity,2024,Māori vs non-Māori,1.32,1.11,1.58,"Age, gender"
adults,Little or no physical activity,2024,Māori men vs non-Māori men,1.39,1.05,1.83,Age
adults,Little or no physical activity,2024,Māori women vs non-Māori women,1.27,1.01,1.59,Age
adults,Little or no physical activity,2024,Pacific vs non-Pacific,1.61,1.27,2.03,"Age, gender"
adults,Little or no physical activity,2024,Pacific men vs non-Pacific men,1.79,1.24,2.57,Age
adults,Little or no physical activity,2024,Pacific women vs non-Pacific women,1.52,1.16,1.99,Age
adults,Little or no physical activity,2024,Asian vs non-Asian,1.39,1.12,1.74,"Age, gender"
adults,Little or no physical activity,2024,Asian men vs non-Asian men,1.43,1.03,1.99,Age
adults,Little or no physical activity,2024,Asian women vs non-Asian women,1.38,1.05,1.81,Age
adults,Little or no physical activity,2024,Most deprived vs least deprived,1.87,1.41,2.48,"Age, gender, ethnic group"
adults,Little or no physical activity,2024,Most deprived vs least deprived - men,2.14,1.44,3.17,"Age, ethnic group"
adults,Little or no physical activity,2024,Most deprived vs least deprived - women,1.7,1.16,2.48,"Age, ethnic group"
adults,Little or no physical activity,2024,Disabled adults vs non-disabled adults,2.22,1.86,2.64,"Age, gender"
adults,Underweight,2024,Men vs women,0.67,0.36,1.25,Age
adults,Underweight,2024,Māori vs non-Māori,0.76,0.38,1.54,"Age, gender"
adults,Underweight,2024,Māori men vs non-Māori men,0.78,0.24,2.6,Age
adults,Underweight,2024,Māori women vs non-Māori women,0.74,0.27,2.01,Age
adults,Underweight,2024,Asian vs non-Asian,2.31,1.22,4.35,"Age, gender"
adults,Underweight,2024,Asian men vs non-Asian men,2.05,0.62,6.75,Age
adults,Underweight,2024,Asian women vs non-Asian women,2.61,1.18,5.8,Age
adults,Underweight,2024,Most deprived vs least deprived,0.82,0.28,2.44,"Age, gender, ethnic group"
adults,Underweight,2024,Most deprived vs least deprived - women,1.54,0.47,5.09,"Age, ethnic group"
adults,Underweight,2024,Disabled adults vs non-disabled adults,0.9,0.41,2.01,"Age, gender"
adults,Healthy weight,2024,Men vs women,0.83,0.77,0.89,Age
adults,Healthy weight,2024,Māori vs non-Māori,0.58,0.5,0.68,"Age, gender"
adults,Healthy weight,2024,Māori men vs non-Māori men,0.7,0.56,0.88,Age
adults,Healthy weight,2024,Māori women vs non-Māori women,0.49,0.41,0.59,Age
adults,Healthy weight,2024,Pacific vs non-Pacific,0.32,0.23,0.47,"Age, gender"
adults,Healthy weight,2024,Pacific men vs non-Pacific men,0.34,0.17,0.69,Age
adults,Healthy weight,2024,Pacific women vs non-Pacific women,0.31,0.2,0.46,Age
adults,Healthy weight,2024,Asian vs non-Asian,1.59,1.45,1.75,"Age, gender"
