"population","indicator","year","comparison","rate_ratio","low_ci","high_ci","adjusted_factors"
children,Tooth brushing twice a day or more with standard fluoride toothpaste,2024,Disabled children vs non-disabled children (5-14),0.81,0.69,0.94,"Age, gender"
children,ADHD,2024,Boys vs girls,1.33,0.81,2.19,Age
children,ADHD,2024,Māori vs non-Māori,0.94,0.57,1.55,"Age, gender"
children,ADHD,2024,Māori boys vs non-Māori boys,1.05,0.58,1.9,Age
children,ADHD,2024,Māori girls vs non-Māori girls,0.79,0.3,2.09,Age
children,ADHD,2024,Pacific vs non-Pacific,0.61,0.31,1.18,"Age, gender"
children,ADHD,2024,Pacific boys vs non-Pacific boys,0.75,0.32,1.79,Age
children,ADHD,2024,Pacific girls vs non-Pacific girls,0.45,0.12,1.63,Age
children,ADHD,2024,Asian vs non-Asian,0.16,0.04,0.57,"Age, gender"
children,ADHD,2024,Asian boys vs non-Asian boys,0.16,0.05,0.5,Age
children,ADHD,2024,Most deprived vs least deprived,1.38,0.55,3.47,"Age, gender, ethnic group"
children,ADHD,2024,Most deprived vs least deprived - boys,4.17,1.24,14.05,"Age, ethnic group"
children,ADHD,2024,Most deprived vs least deprived - girls,0.29,0.06,1.43,"Age, ethnic group"
children,ADHD,2024,Disabled children vs non-disabled children (5-14),8.84,5.91,13.2,"Age, gender"
children,Autism spectrum disorder,2024,Boys vs girls,2.01,1.04,3.89,Age
children,Autism spectrum disorder,2024,Māori vs non-Māori,1.33,0.77,2.29,"Age, gender"
children,Autism spectrum disorder,2024,Māori boys vs non-Māori boys,1.2,0.55,2.62,Age
children,Autism spectrum disorder,2024,Māori girls vs non-Māori girls,1.61,0.77,3.38,Age
children,Autism spectrum disorder,2024,Pacific vs non-Pacific,1.27,0.66,2.41,"Age, gender"
children,Autism spectrum disorder,2024,Pacific boys vs non-Pacific boys,0.98,0.39,2.42,Age
children,Autism spectrum disorder,2024,Pacific girls vs non-Pacific girls,1.89,0.69,5.16,Age
children,Autism spectrum disorder,2024,Asian vs non-Asian,0.31,0.12,0.76,"Age, gender"
children,Autism spectrum disorder,2024,Asian boys vs non-Asian boys,0.22,0.07,0.65,Age
children,Autism spectrum disorder,2024,Asian girls vs non-Asian girls,0.48,0.1,2.38,Age
children,Autism spectrum disorder,2024,Most deprived vs least deprived,3.98,1.59,9.96,"Age, gender, ethnic group"
children,Autism spectrum disorder,2024,Most deprived vs least deprived - boys,7.5,2.61,21.55,"Age, ethnic group"
children,Autism spectrum disorder,2024,Disabled children vs non-disabled children (5-14),23.63,11.85,47.09,"Age, gender"
children,Asthma (using treatment),2024,Boys vs girls,1.38,1.04,1.82,Age
children,Asthma (using treatment),2024,Māori vs non-Māori,1.46,1.06,2.01,"Age, gender"
children,Asthma (using treatment),2024,Māori boys vs non-Māori boys,1.17,0.78,1.75,Age
children,Asthma (using treatment),2024,Māori girls vs non-Māori girls,1.95,1.21,3.15,Age
children,Asthma (using treatment),2024,Pacific vs non-Pacific,1.33,0.85,2.07,"Age, gender"
children,Asthma (using treatment),2024,Pacific boys vs non-Pacific boys,1.19,0.72,1.97,Age
children,Asthma (using treatment),2024,Pacific girls vs non-Pacific girls,1.5,0.82,2.77,Age
children,Asthma (using treatment),2024,Asian vs non-Asian,0.4,0.26,0.61,"Age, gender"
children,Asthma (using treatment),2024,Asian boys vs non-Asian boys,0.5,0.3,0.84,Age
children,Asthma (using treatment),2024,Asian girls vs non-Asian girls,0.27,0.14,0.54,Age
children,Asthma (using treatment),2024,Most deprived vs least deprived,1.04,0.53,2.05,"Age, gender, ethnic group"
children,Asthma (using treatment),2024,Most deprived vs least deprived - boys,0.92,0.4,2.07,"Age, ethnic group"
children,Asthma (using treatment),2024,Most deprived vs least deprived - girls,1.19,0.44,3.18,"Age, ethnic group"
children,Asthma (using treatment),2024,Disabled children vs non-disabled children (5-14),1.78,1.28,2.47,"Age, gender"
children,Eczema (using treatment),2024,Boys vs girls,0.97,0.76,1.23,Age
children,Eczema (using treatment),2024,Māori vs non-Māori,1.23,0.97,1.57,"Age, gender"
children,Eczema (using treatment),2024,Māori boys vs non-Māori boys,1.32,0.92,1.9,Age
children,Eczema (using treatment),2024,Māori girls vs non-Māori girls,1.15,0.87,1.51,Age
